style,category,keywords,best_for,avoid_for,effects,light_dark,a11y_notes,perf_notes
Maximalism,landing,"dense,layered,ornate,expressive",Bold creative brands wanting visual saturation,Utility apps and accessibility-first products,"Overlapping layers, rich patterns, mixed type, busy motion",light+dark,Dense visuals overwhelm focus order and contrast so isolate key text,Many layered assets and effects make this paint-heavy and large
Monochrome,general,"single-hue,tonal,restraint,elegant",Sophisticated brand sites and portfolios,Status-heavy dashboards needing color coding,"Single-hue tonal scale, contrast via value, subtle texture",light+dark,Color cannot convey state alone so add icons and labels for meaning,Lean palette with minimal assets keeps rendering cheap
High-contrast accessible,general,"contrast,legible,focus,inclusive",Public services and accessibility-first products,Mood-driven atmospheric brand pages,"Strong contrast pairs, thick focus rings, clear states",light+dark,Designed to exceed WCAG so audit every pair against AAA where possible,Simple high-contrast styling is inexpensive to render
Liquid glass,landing,"refraction,depth,fluid,specular",Premium device-style hero UIs and overlays,Dense text panels and low-power devices,"Refractive blur, specular highlights, fluid morph, depth layers",light+dark,Refraction over content lowers text contrast so add solid backing,Refraction and dynamic blur are very GPU costly on weak hardware
Soft UI,dashboard,"gentle,low-contrast,rounded,calm",Calm consumer dashboards and settings,High-stakes or low-vision contexts,"Subtle shadows, soft radii, muted palette, gentle hovers",light+dark,Low contrast and faint edges fail many users so verify minimums,Light shadow use keeps paint cost moderate
Motion-driven,landing,"animation,transition,flow,delight",Product launches emphasizing polish and delight,Static reference content and slow networks,"Orchestrated entrances, spring physics, 200-400ms transitions",light+dark,Heavy motion needs a reduced-motion path and pause controls,Continuous animation taxes the compositor and battery
Micro-interaction-led,general,"feedback,hover,toggle,subtle",Interactive products rewarding small actions,Print-like static layouts,"State-driven micro-animations, hover and tap feedback, 100-200ms",light+dark,Feedback must not rely on motion alone so pair with text or color,Small targeted animations are cheap if scoped to transform and opacity
Pixel art,landing,"retro,8bit,sprite,blocky",Games indie brands and nostalgic campaigns,Corporate or data-heavy interfaces,"Crisp pixel scaling, limited palette, sprite motion, dithering",light+dark,Tiny pixel type is hard to read so provide larger UI font for body,Sprites are tiny but nearest-neighbor scaling needs care to stay crisp
E-ink paper,general,"matte,grayscale,calm,reading",Reading apps and distraction-free writing tools,Vibrant media-rich marketing,"Paper texture, grayscale, no glow, minimal animation",light,Grayscale removes color cues so encode state with shape and text,Extremely light with no heavy effects or large color assets
Spatial depth-layered,dashboard,"3d,layers,parallax,perspective",Immersive data and product visualization,Simple forms and quick utilities,"Z-axis layering, subtle perspective, depth shadows, parallax",light+dark,Depth cues can confuse linear navigation so keep DOM order logical,Perspective transforms and layered shadows raise compositing cost
Anti-design raw,landing,"unpolished,clash,default,chaotic",Underground art and provocative creative work,Conversion funnels and trust-heavy flows,"Intentional misalignment, default elements, jarring contrast",light,Deliberate chaos often breaks contrast and focus order so test carefully,Minimal assets make it light despite the raw look
Corporate clean,general,"professional,trust,structured,neutral",B2B SaaS and enterprise marketing,Edgy creative or youth-culture brands,"Neutral palette, structured grid, subtle shadows, restrained motion",light+dark,Neutral grays can drift below contrast minimums so check body text,Conservative styling keeps assets and paint cost low
Luxury restrained,landing,"elegant,spacious,serif,muted",Premium fashion jewelry and hospitality brands,Budget mass-market or dense utility apps,"Wide spacing, refined serifs, muted gold accents, slow fades",light+dark,Thin elegant type and gold-on-light pairs risk failing contrast,Large hero imagery is the main weight so compress and lazy-load
Playful rounded,landing,"friendly,bubbly,bright,approachable",Consumer apps and kid or family products,Formal financial or legal contexts,"Big radii, bright palette, bouncy springs, soft shadows",light+dark,Bright cheerful pairs can be low contrast so test text combinations,Spring motion and shadows are modest if kept to transforms
Technical blueprint,dashboard,"grid,monospace,wireframe,precise",Engineering tools and technical documentation,Emotive consumer brand stories,"Blueprint grid lines, monospace labels, hairline strokes",light+dark,Hairlines and small mono text can be hard to read so size up body,Vector grids are light but dense line work can crowd the DOM
Hand-drawn sketch,landing,"sketch,doodle,organic,handmade",Creative portfolios and approachable explainers,Formal enterprise and precise data UIs,"Rough strokes, wobble lines, hand-lettered accents, jitter motion",light+dark,Irregular hand-lettering hurts legibility so keep body text in clean fonts,Many hand-drawn SVG paths or images can add notable weight
Photographic-hero,landing,"imagery,fullbleed,overlay,immersive",Travel real estate and lifestyle landing pages,Performance-critical or low-bandwidth contexts,"Full-bleed photos, gradient overlays, parallax, slow zoom",light+dark,Text over photos needs scrims and overlays to hold contrast,Large hero images dominate weight so use responsive and modern formats
Typographic-poster,landing,"display-type,scale,bold,layout",Event pages campaigns and bold statements,Long-form reading and dense dashboards,"Oversized display type, dramatic scale jumps, tight layout",light+dark,Extreme scale and tight tracking can reduce reading ease at body sizes,Display web fonts add weight so subset and limit families
