product_type,keywords,primary_style,secondary_styles,landing_pattern,key_considerations
Notes App,"notes,writing,editor,markdown,notebook",Minimal flat,"Swiss,Soft UI",Minimal + direct,"Markdown/WYSIWYG, tags, full-text search, distraction-free"
Food Delivery,"delivery,food,order,takeout,on-demand,courier",Vibrant + motion,"Glassmorphism,Flat",Hero + features,"Restaurant cards, cart sheet, live map tracking, ETA stepper"
Meditation,"meditation,mindfulness,calm,sleep,relaxation",Neumorphism + soft,"Aurora,Glassmorphism",Storytelling + proof,"Breathing animation, ambient mixer, streaks, slow easing only"
Mental Health,"mentalhealth,therapy,mood,wellbeing,support",Neumorphism + accessible,"Claymorphism,Soft UI",Social proof,"Calm pastels, readable type, no neon, no motion overload"
Knowledge Base,"docs,documentation,help,faq,wiki",Minimal accessible,"Swiss,Flat",FAQ + minimal,"Strong search, clear nav, readable, sequential hierarchy"
Booking,"booking,appointment,schedule,reservation,slot",Soft UI + flat,"Minimalism,Micro-interactions",Conversion,"Calendar/slot grid, service picker, reminders, reschedule"
Password Manager,"password,vault,credentials,2fa,biometric,secure",Minimal accessible,"Dark mode,Trust",Trust + features,"Zero-knowledge, biometric unlock, breach alerts, generator"
Dating App,"dating,match,profile,relationship,swipe",Vibrant + motion,"Aurora,Glassmorphism",Social proof + features,"Card swipe, match animations, real profiles, safety features"
Luxury Brand,"luxury,premium,elegant,exclusive,high-end",Liquid glass,"Minimalism,3D",Storytelling + features,"Elegance paramount, premium imagery, slow refined reveals"
Non-profit,"charity,nonprofit,donation,cause,fundraising",Accessible + organic,"Minimalism,Storytelling",Storytelling + trust,"Impact stories, clear donation flow, transparency reports"
E-learning,"course,elearning,lms,certificate,training",Claymorphism + vibrant,"Motion,Flat",Features + proof,"Course catalog, progress tracking, quizzes, certificates"
Banking,"bank,banking,deposit,loan,traditional-finance",Minimal accessible,"Trust,Dark mode",Trust + features,"Trust and security UX, smooth number animations, no playful"
Design System,"designsystem,components,library,tokens,ui-kit",Minimal accessible,"Flat,Zero interface",Features + docs,"Strong docs, live preview, copy-to-clipboard, monospace code"
Weather App,"weather,forecast,temperature,climate,radar",Glass + aurora,"Motion,Minimalism",Hero-centric,"Location detect, hourly scroll, animated icons, widget-ready"
Recipe App,"recipe,cooking,kitchen,meal,ingredient,chef",Claymorphism + vibrant,"Soft UI,Organic",Hero + features,"Checkable steps, serving adjuster, per-step timer, cook mode"
