ui_category,keywords,recommended_pattern,style_priority,color_mood,type_mood,key_effects,anti_patterns
Fitness,"fitness,gym,workout,training",Feature-rich + data,Vibrant block + dark mode,Energetic orange + dark bg,Bold + motivational,Progress ring animations + achievement unlocks,Static design; no gamification
News Media,"news,media,articles,publishing",Hero-centric + feature-rich,Minimalism + flat,Brand colors + high contrast,Clear + readable,Breaking-news badge + article reveal,Cluttered layout; slow loading
Job Board,"jobs,recruitment,hiring,careers",Conversion-optimized + feature-rich,Flat + minimalism,Professional blue + success green + neutral,Clear + professional,Search/filter animations + application flow,Outdated forms; hidden filters
Personal Finance,"budget,expense,savings,wallet",Interactive product demo,Glassmorphism + dark mode,Calm blue + success green + alert red + chart accents,Modern + clear hierarchy,Backdrop blur 10-20px + translucent overlays,Pure white backgrounds
Chat App,"chat,messaging,dm,realtime",Feature-rich showcase + demo,Minimalism + micro-interactions,Brand primary + bubble contrast + typing grey,Professional + clean hierarchy,Subtle hover 200ms + smooth transitions,Excessive decoration
Notes App,"notes,writing,editor,markdown",Minimal & direct,Minimalism + flat,Clean white/cream + minimal accent + editor syntax,Professional + clean hierarchy,Color-shift hover + fast 150ms + no shadows,Excessive decoration; complex shadows; 3D effects
Food Delivery,"delivery,food,order,on-demand",Hero-centric + feature-rich,Vibrant block + motion,Appetizing warm + trust blue + map accent,Energetic + bold + large,Scroll animations + parallax + page transitions,Muted colors; low energy
Meditation,"meditation,mindfulness,calm,sleep",Storytelling-driven + social proof,Neumorphism + soft UI,Ultra-calm pastels + breathing animation hues,Subtle + soft + monochromatic,Dual shadows + soft press 150ms,Inconsistent styling; poor contrast
Mental Health,"mentalhealth,therapy,mood,wellbeing",Social-proof focused,Neumorphism + accessible,Calm pastels + trust colors,Calming + readable,Soft press + breathing animations,Bright neon; motion overload
Knowledge Base,"docs,documentation,help,faq",FAQ + minimal,Minimalism + accessible,Clean hierarchy + minimal color,Clear + readable,Search highlight + smooth scrolling,Poor navigation; no search
Booking,"booking,appointment,schedule,slot",Conversion-optimized,Soft UI + flat,Trust blue + available green + booked grey,Bold + clean + sans-serif,Color-shift hover + fast 150ms + no shadows,Complex shadows; 3D effects
Password Manager,"password,vault,2fa,secure",Trust & authority + feature-rich,Minimalism + accessible,Trust blue + security green + dark neutral,Professional + clean hierarchy,Subtle hover 200ms + smooth transitions,Excessive decoration; color-only indicators
Dating App,"dating,match,profile,swipe",Social proof + feature-rich,Vibrant block + motion,Warm romantic pink/red gradients,Modern + friendly,Profile card swipe + match animations,Generic profiles; no safety
Luxury Brand,"luxury,premium,elegant,exclusive",Storytelling + feature-rich,Liquid glass + glassmorphism,Black + gold + white,Elegant + refined,Slow parallax + premium reveals 400-600ms,Cheap visuals; fast animations
Non-profit,"charity,nonprofit,donation,cause",Storytelling + trust,Accessible + organic biophilic,Cause-related + trust + warm,Heartfelt + readable,Impact counter animations + story reveals,No impact data; hidden financials
E-learning,"course,elearning,lms,certificate",Feature-rich + social proof,Claymorphism + vibrant block,Vibrant learning colors + progress green,Friendly + engaging,Progress bar animations + certificate reveals,Boring design; no gamification
Banking,"bank,banking,deposit,loan",Trust & authority + feature,Minimalism + accessible,Navy + trust blue + gold,Professional + trustworthy,Smooth number animations + security indicators,Playful design; poor security UX; AI gradients
Design System,"designsystem,components,library,tokens",Feature-rich + documentation,Minimalism + accessible,Clear hierarchy + code-like structure,Monospace + clear,Code-copy animations + component previews,Poor documentation; no live preview
